manufacturer;name;intercept;coef;test
ulti med Products (Deutschland) GmbH;COVID‐19 Antigen Speicheltest (Immunochromato graphie);36.48749149316778;-1.2034737500169577;30.318477235297944
AmonMed (Xiamen) Biotechnology Co.,Ltd.;COVID‐19 Antigen Rapid Test Kit (Colloidal Gold);23.79046841306771;-0.7850441729998434;30.304623906905242
Beijing Tigsun Diagnostics Co.,Ltd.;Tigsun COVID‐19 Saliva Antigen Rapid Test;25.067615914906785;-0.8285523621839432;30.25471540366164
LumiQuick Diagnostics Inc.;QuickProfile Covid 19 Antigen Test Card;27.22134050936012;-0.901794119049981;30.1857596255309
New Gene (Hangzhou) Bioengineering Co., Ltd.;Covid‐19‐Antigen‐ Testkit;27.359026042868905;-0.91583350623201;29.873362195964457
ScheBo Biotech AG;ScheBo SARS‐CoV‐ 2 Quick Antigen;35.618013996888145;-1.1974386036855589;29.745169303261623
Triplex International Biosciences (China) Co., Ltd.;SARS‐CoV‐2 Antigen Rapid Test Kit;27.359026042868905;-0.91583350623201;29.873362195964457
Getein Biotech, Inc.;One Step Test for SARS‐CoV‐2 Antigen (Colloidal Gold);42.2843075489571;-1.4620641762522335;28.92096546496757
Merlin Biomedical (Xiamen) Co., Ltd.;SARS‐CoV‐2 Antigen Rapid Test Cassette;42.2843075489571;-1.4620641762522335;28.92096546496757
Ameda Labordiagnostik GmbH;AMP Rapid Test SARS‐CoV‐2 Ag;37.803330814262814;-1.3178928019160576;28.6846781159297
BioRepair GmbH;Covid 19 Antigen Schnelltest;37.803330814262814;-1.3178928019160576;28.6846781159297
Hangzhou Lysun Biotechnology Co., Ltd.;Lysun COVID‐19 Antigen Rapid Test Device (Colloidal Gold);37.803330814262814;-1.3178928019160576;28.6846781159297
Jiangsu Diagnostics Biotechnology Co., Ltd;COVID‐19 Antigen Rapid Test Cassette (Colloidal Gold);37.803330814262814;-1.3178928019160576;28.6846781159297
Sugentech, Inc.;SGTi‐flex COVID‐ 19 Ag;26.782611157552807;-0.9388157794323391;28.52807946384016
Wuhan EasyDiagnosis Biomedicine Co., Ltd;COVID‐19 (SARS‐ CoV‐2) Antigen Test Kit;33.82889087898867;-1.188649395278893;28.4599403435118
ASAN PHARM.CO.,LTD.;Asan Easy Test COVID‐19 Ag;29.29973270117954;-1.0370047930130086;28.254192168243904
Lumigenex (Suzhou) Co., Ltd.;PocRoc SARS‐CoV‐ 2, Antigen Schnelltest Set (Kolloidales Gold);26.14599285599322;-0.9322017501164133;28.047568943877344
ProGnosis Biotech;Rapid Test Ag 2019‐nCoV;16.861600738216666;-0.5971720412927385;28.235750457632317
Atlas Link Technology Co.,Ltd.;Nova Test SARS‐ CoV‐2 Antigen Rapid Test Kit;24.73348164894726;-0.8888455724834228;27.826522868131345
